measure,year,county_name,numerator,denominator,rate,rate_lower,rate_upper
Population,2019,Adams,103009,NA,NA,NA,NA
Population,2019,Allegheny,1216045,NA,NA,NA,NA
Population,2019,Armstrong,64735,NA,NA,NA,NA
Population,2019,Beaver,163929,NA,NA,NA,NA
Population,2019,Bedford,47888,NA,NA,NA,NA
Population,2019,Berks,421164,NA,NA,NA,NA
Population,2019,Blair,121829,NA,NA,NA,NA
Population,2019,Bradford,60323,NA,NA,NA,NA
Population,2019,Bucks,628270,NA,NA,NA,NA
Population,2019,Butler,187853,NA,NA,NA,NA
Population,2019,Cambria,130192,NA,NA,NA,NA
Population,2019,Cameron,4447,NA,NA,NA,NA
Population,2019,Carbon,64182,NA,NA,NA,NA
Population,2019,Centre,162385,NA,NA,NA,NA
Population,2019,Chester,524989,NA,NA,NA,NA
Population,2019,Clarion,38438,NA,NA,NA,NA
Population,2019,Clearfield,79255,NA,NA,NA,NA
Population,2019,Clinton,38632,NA,NA,NA,NA
Population,2019,Columbia,64964,NA,NA,NA,NA
Population,2019,Crawford,84629,NA,NA,NA,NA
Population,2019,Cumberland,253370,NA,NA,NA,NA
Population,2019,Dauphin,278299,NA,NA,NA,NA
Population,2019,Delaware,566747,NA,NA,NA,NA
Population,2019,Elk,29910,NA,NA,NA,NA
Population,2019,Erie,269728,NA,NA,NA,NA
Population,2019,Fayette,129274,NA,NA,NA,NA
Population,2019,Forest,7247,NA,NA,NA,NA
Population,2019,Franklin,155027,NA,NA,NA,NA
Population,2019,Fulton,14530,NA,NA,NA,NA
Population,2019,Greene,36233,NA,NA,NA,NA
Population,2019,Huntingdon,45144,NA,NA,NA,NA
Population,2019,Indiana,84073,NA,NA,NA,NA
Population,2019,Jefferson,43425,NA,NA,NA,NA
Population,2019,Juniata,24763,NA,NA,NA,NA
Population,2019,Lackawanna,209674,NA,NA,NA,NA
Population,2019,Lancaster,545724,NA,NA,NA,NA
Population,2019,Lawrence,85512,NA,NA,NA,NA
Population,2019,Lebanon,141793,NA,NA,NA,NA
Population,2019,Lehigh,369318,NA,NA,NA,NA
Population,2019,Luzerne,317417,NA,NA,NA,NA
Population,2019,Lycoming,113299,NA,NA,NA,NA
Population,2019,McKean,40625,NA,NA,NA,NA
Population,2019,Mercer,109424,NA,NA,NA,NA
Population,2019,Mifflin,46138,NA,NA,NA,NA
Population,2019,Monroe,170271,NA,NA,NA,NA
Population,2019,Montgomery,830915,NA,NA,NA,NA
Population,2019,Montour,18230,NA,NA,NA,NA
Population,2019,Northampton,305285,NA,NA,NA,NA
Population,2019,Northumberland,90843,NA,NA,NA,NA
