X,Y,ORGANIZATION_NAME,CLIENT_NAME,SITE_NAME,PRIMARY_FACILITY_NAME,CLIENT_ID,SITE_ID,PRIMARY_FACILITY_ID,SUB_FACILITY_NAME,SUB_FACILITY_ID,PRIMARY_FACILITY_TYPE,PRIMARY_FACILITY_KIND,OTHER_FACILITY_ID,SUB_FACILITY_TYPE,SOTHER_FID,CLIENT_RELATIONSHIP,SITE_STATUS,PRIMARY_FACILITY_STATUS,SUB_FACILITY_STATUS,COMPLIANCE,SHAPE_FID
-8708678.3751,5129988.9261,DUFFY INC,DUFFY INC,PORT ALLEGANY MINE,PORT ALLEGANY MINE,37846,527305,646064,PORT ALLEGANY MINE,806492,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,42040301,MINERAL PREPARATION PLANT,42040301,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4113152
-8936450.4224,5138495.0757,NORTHWEST GRAVEL CO,NORTHWEST GRAVEL CO,NORTHWEST GRAVEL 2 MINE,NORTHWEST GRAVEL 2 MINE,62563,3628,4889,NORTHWEST GRAVEL 2 MINE,14353,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,20820305,MINERAL PREPARATION PLANT,20820305,Owner,ACTIVE,RECLAMATION COMPLETE,PROPOSED BUT NEVER MATERIALIZED,YES,4113548
-8962610.5019,5041311.1839,BUCKEYE LEASING INC,BUCKEYE LEASING INC,CITY SLAG QUARRY,CITY SLAG MINE,148563,545763,564136,CITY SLAG MINE,1047527,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,43010303,MINERAL PREPARATION PLANT,43010303,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4119904
-8948571.4791,5021274.9014,NESHANNOCK SAND & GRAVEL INC,NESHANNOCK SAND & GRAVEL INC,NESHANNOCK 2 MINE,NESHANNOCK 2 MINE,1050,242468,246726,NESHANNOCK 2 MINE,790292,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,37920306,MINERAL PREPARATION PLANT,37920306,Owner,ACTIVE,STAGE1/REGRADED,RECLAMATION COMPLETE,YES,4123155
-8896004.3407,5165557.6172,AFTON TRUCKING INC,AFTON TRUCKING INC,WEST GREENE MINE,WEST GREENE MINE,5330,2710,3640,WEST GREENE MINE,11295,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,3076SM2,MINERAL PREPARATION PLANT,3076SM2,Owner,ACTIVE,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4124948
-8938058.3709,5164475.306,WEST RIDGE GRAVEL CO,WEST RIDGE GRAVEL CO,WEST RIDGE MINE,WEST RIDGE MINE,142141,67019,68900,WEST RIDGE MINE,65193,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,3075SM14,MINERAL PREPARATION PLANT,3075SM14,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4136104
-8840004.4522,5111177.7719,IA CONST CORP,IA CONST CORP,SHERMAC 1 MINE,SHERMAC 1 MINE,38354,2974,4017,SHERMAC 1 MINE,12418,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4672SM10,MINERAL PREPARATION PLANT,4672SM10,Owner,RECLAMATION COMPLETED,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4137775
-8807227.0467,5135050.2104,YEAGLE EXCAV,YEAGLE EXCAV,YEAGLE WARREN MINE,YEAGLE WARREN MINE,43212,49022,50816,YEAGLE WARREN MINE,64528,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4876SM1,MINERAL PREPARATION PLANT,4876SM1,Owner,RECLAMATION COMPLETED,RECLAMATION COMPLETE,RECLAMATION COMPLETE,YES,4137784
-8874853.6375,5108073.7524,HASBROUCK SAND & GRAVEL INC,HASBROUCK SAND & GRAVEL INC,HASBROUCK 1 MINE,HASBROUCK 1 MINE,52048,571353,5581,HASBROUCK 1 MINE,16591,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,3075SM16,MINERAL PREPARATION PLANT,3075SM16,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4140965
-8882707.8454,5191236.1653,DOROTHY M & TIMOTHY B GIRTS,DOROTHY M & TIMOTHY B GIRTS,GIRTS MINE,GIRTS MINE,61344,238585,241420,GIRTS MINE,204485,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,25800303,MINERAL PREPARATION PLANT,25800303,Owner,ACTIVE,ACTIVE,RECLAMATION COMPLETE,YES,4144266
-8943933.5663,5094717.2255,LAKELAND SAND & GRAVEL INC,LAKELAND SAND & GRAVEL INC,ATLAS MINE,ATLAS MINE,60369,245510,250763,ATLAS MINE,228668,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4876SM2,MINERAL PREPARATION PLANT,4876SM2,Owner,ACTIVE,STAGE1/REGRADED,STAGE 1/REGRADED,YES,4144469
-8936326.7335,5103771.1707,CONNEAUT LAKE SAND & GRAVEL INC,CONNEAUT LAKE SAND & GRAVEL INC,CONNEAUT LAKE SAND & GRAVEL MINE,CONNEAUT LAKE SAND & GRAVEL MINE,62827,4323,5873,CONNEAUT LAKE SAND & GRAVEL MINE,17485,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,3076SM4,MINERAL PREPARATION PLANT,3076SM4,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4144559
-8916443.8364,5092775.2527,MEADVILLE REDI MIX CONCRETE INC,MEADVILLE REDI MIX CONCRETE INC,WYGANT FARM WASH PLT,WYGANT FARM WASH PLT,62519,66695,68557,WYGANT FARM WASH PLT,65119,INDUSTRIAL MINERAL MINING OPERATION,SURFACE LARGE,4876SM15,MINERAL PREPARATION PLANT,4876SM15,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4144787
