Median Household Income 
Population Reference Bureau prb.org
"Sources: U.S. Census Bureau, Decennial Census and American Community Survey ."

FIPS,Name,Type,TimeFrame,Data
01,Alabama,State,1999,51607
01,Alabama,State,2006-2010,48569
01,Alabama,State,2014-2018,48486
02,Alaska,State,1999,77968
02,Alaska,State,2006-2010,76777
02,Alaska,State,2014-2018,76715
04,Arizona,State,1999,61318
04,Arizona,State,2006-2010,58226
04,Arizona,State,2014-2018,56213
05,Arkansas,State,1999,48655
05,Arkansas,State,2006-2010,45321
05,Arkansas,State,2014-2018,45726
06,California,State,1999,71803
06,California,State,2006-2010,70270
06,California,State,2014-2018,71228
08,Colorado,State,1999,71364
08,Colorado,State,2006-2010,65161
08,Colorado,State,2014-2018,68811
09,Connecticut,State,1999,81542
09,Connecticut,State,2006-2010,78184
09,Connecticut,State,2014-2018,76106
10,Delaware,State,1999,71633
10,Delaware,State,2006-2010,66480
10,Delaware,State,2014-2018,65627
11,District of Columbia,State,1999,60666
11,District of Columbia,State,2006-2010,67550
11,District of Columbia,State,2014-2018,82604
12,Florida,State,1999,58689
12,Florida,State,2006-2010,55009
12,Florida,State,2014-2018,53267
13,Georgia,State,1999,64153
13,Georgia,State,2006-2010,56955
13,Georgia,State,2014-2018,55679
15,Hawaii,State,1999,75321
15,Hawaii,State,2006-2010,76661
15,Hawaii,State,2014-2018,78084
16,Idaho,State,1999,56803
16,Idaho,State,2006-2010,53581
16,Idaho,State,2014-2018,53089
17,Illinois,State,1999,70437
17,Illinois,State,2006-2010,64328
17,Illinois,State,2014-2018,63575
18,Indiana,State,1999,62843
18,Indiana,State,2006-2010,55051
18,Indiana,State,2014-2018,54325
19,Iowa,State,1999,59671
19,Iowa,State,2006-2010,56407
19,Iowa,State,2014-2018,58580
20,Kansas,State,1999,61418
20,Kansas,State,2006-2010,57044
20,Kansas,State,2014-2018,57422
21,Kentucky,State,1999,50907
21,Kentucky,State,2006-2010,47986
21,Kentucky,State,2014-2018,48392
22,Louisiana,State,1999,49235
22,Louisiana,State,2006-2010,50143
22,Louisiana,State,2014-2018,47942
23,Maine,State,1999,56302
23,Maine,State,2006-2010,54169
23,Maine,State,2014-2018,55425
24,Maryland,State,1999,79929
24,Maryland,State,2006-2010,81540
24,Maryland,State,2014-2018,81868
25,Massachusetts,State,1999,76352
25,Massachusetts,State,2006-2010,74455
25,Massachusetts,State,2014-2018,77378
26,Michigan,State,1999,67530
26,Michigan,State,2006-2010,55899
26,Michigan,State,2014-2018,54938
27,Minnesota,State,1999,71225
27,Minnesota,State,2006-2010,66069
27,Minnesota,State,2014-2018,68411
28,Mississippi,State,1999,47366
28,Mississippi,State,2006-2010,43722
28,Mississippi,State,2014-2018,43567
29,Missouri,State,1999,57351
29,Missouri,State,2006-2010,53395
29,Missouri,State,2014-2018,53560
30,Montana,State,1999,49928
30,Montana,State,2006-2010,50636
30,Montana,State,2014-2018,52559
31,Nebraska,State,1999,59340
