GEO_ID,STATE_FIPS,CNTY_FIPS,TRACT,CENSUSAREA,STCOFIPS,FIPS,STATE_ABBR,STATE_NAME,COUNTY,LOCATION,TOTPOP,E_TOTPOP,M_TOTPOP,HU,E_HU,M_HU,HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDIP,M_NOHSDIP,AGE65,AGE17,SNGPRNT,MINORITY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,GROUPQ,E_P_POV,M_P_POV,E_P_UNEMP,M_P_UNEMP,E_P_PCI,M_P_PCI,E_P_NOHSDIP,M_P_NOHSDIP,P_AGE65,P_AGE17,P_SNGPRNT,P_MINORITY,E_P_LIMENG,M_P_LIMENG,E_P_MUNIT,M_P_MUNIT,E_P_MOBILE,M_P_MOBILE,E_P_CROWD,M_P_CROWD,E_P_NOVEH,M_P_NOVEH,P_GROUPQ,E_PL_POV,E_PL_UNEMP,E_PL_PCI,E_PL_NOHSDIP,S_PL_THEME1,R_PL_THEME1,PL_AGE65,PL_AGE17,PL_SNGPRNT,S_PL_THEME2,R_PL_THEME2,PL_MINORITY,E_PL_LIMENG,S_PL_THEME3,R_PL_THEME3,E_PL_MUNIT,E_PL_MOBILE,E_PL_CROWD,E_PL_NOVEH,PL_GROUPQ,S_PL_THEME4,R_PL_THEME4,S_PL_THEMES,R_PL_THEMES,F_PL_POV,F_PL_UNEMP,F_PL_PCI,F_PL_NOHSDIP,F_PL_THEME1,F_PL_AGE65,F_PL_AGE17,F_PL_SNGPRNT,F_PL_THEME2,F_PL_MINORITY,F_PL_LIMENG,F_PL_THEME3,F_PL_MUNIT,F_PL_MOBILE,F_PL_CROWD,F_PL_NOVEH,F_PL_GROUPQ,F_PL_THEME4,F_PL_TOTAL
1400000US42119980800,42,119,980800,0.626,42119,42119980800,PA,Pennsylvania,Union County,"Census Tract 9808, Union County, Pennsylvania",2732,3190,513,28,9,14,26,0,154,43,451,3840,984,0,436,15,8,2,446,0,436,0,189,0,109,0,154,0,154,2680,0,6.416666,0.045406,0.475777,3840,984,0,18.166666,0.00549,0.002928,0.07692307,0.16325,0,0.136677,0,21,0,12.111111,0,17.111111,0,17.111111,0.980966,0,0.244,0.9994,0,1.2434,0.2606,0.004,0.005,0.446,0.455,0.033,0.646,0,0.646,0.308,0,0,0,0,0.996,0.996,0.087,3.3404,0.0313,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
1400000US42029310400,42,29,310400,0.092,42029,42029310400,PA,Pennsylvania,Chester County,"Census Tract 3104, Chester County, Pennsylvania",3400,3049,664,0,0,109,0,0,154,197,457,3957,792,0,436,5,6,0,572,0,436,0,189,0,109,0,154,0,154,3400,0,-999,0.129265,0.297172,3957,792,0,-999,0.00147,0.001764,0,0.168235,0,0.142997,0,-999,0,-999,0,-999,0,-999,1,0,0.866,0.9987,0,1.8647,0.4574,0.003,0.004,0,0.007,0.002,0.655,0,0.655,0.315,0,0,0,0,0.999,0.999,0.09,3.5257,0.0438,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
1400000US42019910500,42,19,910500,0.551,42019,42019910500,PA,Pennsylvania,Butler County,"Census Tract 9105, Butler County, Pennsylvania",1898,328,341,3,11,18,2,0,154,31,451,4717,5729,0,436,0,8,0,213,0,436,0,189,0,109,0,154,0,154,1891,0,14,0.170329,2.443093,4717,5729,0,39.636363,0,0.004214,0,0.112223,0,1.329268,0,17.181818,0,9.90909,0,14,0,14,0.996311,0,0.93,0.9975,0,1.9275,0.4772,0,0.005,0,0.005,0.001,0.535,0,0.535,0.245,0,0,0,0,0.997,0.997,0.088,3.4645,0.0391,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3
1400000US42049980109,42,49,980109,0.699,42049,42049980109,PA,Pennsylvania,Erie County,"Census Tract 9801.09, Erie County, Pennsylvania",2211,2176,178,9,13,10,6,0,154,0,487,6959,938,525,347,38,4,2,1247,26,394,0,189,6,8,6,109,0,154,2197,0,3.948717,0,19.48,6959,938,0.274008,0.179618,0.017186,0.001809,0.33333333,0.563998,0.011948,0.181063,0,14.538461,0.461538,0.502645,0.461538,8.377095,0,11.846153,0.993668,0,0,0.9956,0.933,1.9286,0.4775,0.007,0.004,0.982,0.993,0.093,0.874,0.692,1.566,0.837,0,0.999,1,0,0.997,2.996,0.818,7.4836,0.6661,0,0,1,1,2,0,0,1,1,0,0,0,0,1,1,0,1,3,6
1400000US42119980101,42,119,980101,3.339,42119,42119980101,PA,Pennsylvania,Union County,"Census Tract 9801.01, Union County, Pennsylvania",3873,3563,252,7,3,6,5,0,154,0,487,7336,1737,1097,358,79,1,0,2998,473,350,0,189,0,109,0,154,0,154,3864,0,51.333333,0,162.333333,7336,1737,0.329825,0.104695,0.020397,0.000258,0,0.774076,0.132753,0.097782,0,63,0,36.333333,0,51.333333,0,51.333333,0.997676,0,0,0.9937,0.967,1.9607,0.49,0.008,0.002,0,0.01,0.003,0.917,0.976,1.893,0.976,0,0,0,0,0.998,0.998,0.089,4.8617,0.1824,0,0,1,1,2,0,0,0,0,1,1,2,0,0,0,0,1,1,5
1400000US42091206702,42,91,206702,2.554,42091,42091206702,PA,Pennsylvania,Montgomery County,"Census Tract 2067.02, Montgomery County, Pennsylvania",3403,3103,1275,6,0,109,5,0,154,0,487,8791,3698,900,447,107,8,0,2452,21,394,0,189,0,109,0,154,0,154,3392,0,-999,0,-999,8791,3698,0.322812,0.092502,0.031442,0.00235,0,0.72054,0.006767,0.126943,0,-999,0,-999,0,-999,0,-999,0.996767,0,0,0.9912,0.963,1.9542,0.4872,0.011,0.004,0,0.015,0.004,0.905,0.564,1.469,0.788,0,0,0,0,0.998,0.998,0.089,4.4362,0.1242,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,1,1,4
1400000US42027981202,42,27,981202,1.162,42027,42027981202,PA,Pennsylvania,Centre County,"Census Tract 9812.02, Centre County, Pennsylvania",1999,1943,238,2,0,109,1,0,154,0,487,10026,2812,374,325,40,0,0,1139,64,395,0,189,0,109,0,154,0,154,1997,0,-999,0,-999,10026,2812,0.217821,0.187214,0.02001,0,0,0.569784,0.032938,0.203253,0,-999,0,-999,0,-999,0,-999,0.998999,0,0,0.9806,0.871,1.8516,0.4531,0.008,0,0,0.008,0.003,0.875,0.869,1.744,0.911,0,0,0,0,0.999,0.999,0.09,4.6026,0.1474,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
1400000US42041981606,42,41,981606,0.424,42041,42041981606,PA,Pennsylvania,Cumberland County,"Census Tract 9816.06, Cumberland County, Pennsylvania",2227,2469,483,7,9,14,7,0,154,146,444,10399,6354,0,436,5,19,1,200,0,436,0,189,0,109,0,154,0,154,2194,0,8.555555,0.096945,0.293107,10399,6354,0,6.411764,0.002245,0.008531,0.14285714,0.089806,0,0.176589,0,21,0,12.111111,0,17.111111,0,17.111111,0.985181,0,0.749,0.9759,0,1.7249,0.4046,0.003,0.007,0.796,0.806,0.057,0.468,0,0.468,0.206,0,0,0,0,0.997,0.997,0.088,3.9959,0.0742,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
1400000US42119980501,42,119,980501,1.469,42119,42119980501,PA,Pennsylvania,Union County,"Census Tract 9805.01, Union County, Pennsylvania",1845,1753,328,39,18,28,28,0,154,0,487,10635,3209,384,357,24,26,3,1391,62,396,0,189,0,109,0,154,0,154,1774,0,1.425925,0,11.595238,10635,3209,0.230215,0.210434,0.013008,0.014092,0.10714285,0.753929,0.035693,0.227885,0,10.5,0,6.055555,0,8.555555,0,8.555555,0.961517,0,0,0.9734,0.891,1.8644,0.4571,0.005,0.007,0.681,0.693,0.046,0.913,0.878,1.791,0.934,0,0,0,0,0.996,0.996,0.087,5.3444,0.2635,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,3
1400000US42045409702,42,45,409702,0.289,42045,42045409702,PA,Pennsylvania,Delaware County,"Census Tract 4097.02, Delaware County, Pennsylvania",1918,2057,488,175,195,41,169,0,154,32,464,11273,3891,13,423,112,104,12,268,0,436,0,189,0,109,0,154,21,111,1490,0,0.390862,0.056838,0.823309,11273,3891,0.046594,1.516088,0.058394,0.054223,0.07100591,0.139728,0,0.21425,0,0.96923,0,0.558974,0,0.933333,0.127272,0.672329,0.77685,0,0.393,0.9643,0.136,1.4933,0.3354,0.029,0.02,0.378,0.427,0.031,0.607,0,0.607,0.283,0,0,0,0.696,0.993,1.689,0.257,4.2163,0.0967,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
