FID,AFFGEOID,TRACTCE,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
-1,1400000US42049980109,980109,42, Pennsylvania,PA,42049, Erie,42049980109,"Census Tract 9801.09, Erie County, Pennsylvania",0.69920447,2216,286,0,10,0,10,0,10,0,10,3073,1186,474,148,85,52,0,10,0,10,0,14.1,1209,339,16,40.9,0,14.1,0,10,0,14.1,0,10,2216,286,0,-999,0,-999,3073,1186,23.9,6.4,3.8,2.3,0,0.5,0,-999,0,-999,54.6,13.6,0.7,1.8,0,-999,0,-999,0,-999,0,-999,100,0,0,0,0.9994,0.9263,1.9257,0.4859,0.0193,0,0,0,0.0193,0.0068,0.8669,0.5485,1.4154,0.7559,0,0,0,0,0.9978,0.9978,0.0693,4.3582,0.0829,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,10,0,-999,2939
-1,1400000US42019910500,910500,42, Pennsylvania,PA,42019, Butler,42019910500,"Census Tract 9105, Butler County, Pennsylvania",0.55053589,1805,271,8,13,8,13,0,10,93,55,3700,663,0,10,0,10,17,22,75,54,0,14.1,204,375.6,0,40,0,14.1,0,10,0,14.1,0,10,1797,272,0,92,11.7,6.1,3700,663,0,67.2,0,1.4,0.9,1.2,4.2,3.1,0,176.8,11.3,20.7,0,2.2,0,176.8,0,92,0,176.8,0,92,99.6,1.9,0,0.782,0.9981,0,1.7801,0.4424,0,0.0118,0.0233,0,0.0351,0.0087,0.5106,0,0.5106,0.2326,0,0,0,0,0.9972,0.9972,0.0684,3.3231,0.0181,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,147,78,8.1,4.1,1202
-1,1400000US42119980501,980501,42, Pennsylvania,PA,42119, Union,42119980501,"Census Tract 9805.01, Union County, Pennsylvania",1.46842737,1708,272,53,33,22,27,0,10,0,10,3966,1889,376,143,60,37,29,46,0,10,17,27.9,1280,291.9,113,89.8,0,14.1,0,10,0,14.1,0,10,1657,265,0,36.2,0,55.5,3966,1889,23.3,7.6,3.5,2.1,1.7,2.7,0,36.2,77.3,83.9,74.9,12.2,6.6,5.2,0,26.7,0,35.4,0,64.3,0,55.5,97,1.4,0,0,0.9978,0.9238,1.9216,0.4847,0.0174,0.0152,0,1,1.0326,0.0613,0.9092,0.9263,1.8355,0.9499,0,0,0,0,0.9963,0.9963,0.0675,5.7861,0.2581,0,0,1,1,2,0,0,0,1,1,1,1,2,0,0,0,0,1,1,6,5,7,9.8,27.9,1856
-1,1400000US42119980101,980101,42, Pennsylvania,PA,42119, Union,42119980101,"Census Tract 9801.01, Union County, Pennsylvania",3.33916106,3372,343,7,12,7,12,0,10,0,10,4544,1679,563,150,35,36,0,10,0,10,0,14.1,2734,373.6,250,113.2,0,14.1,0,10,0,14.1,0,10,3365,344,0,98.3,0,98.3,4544,1679,17.5,4.6,1,1.1,0,0.3,0,98.3,0,202,81.1,7.4,7.4,3.3,0,202,0,98.3,0,202,0,98.3,99.8,1,0,0,0.9972,0.8386,1.8358,0.4599,0.0096,0,0,0,0.0096,0.0053,0.9241,0.9359,1.8601,0.9608,0,0,0,0,0.9975,0.9975,0.069,4.703,0.112,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,1,4,0,10,0,98.3,3951
-1,1400000US42041981001,981001,42, Pennsylvania,PA,42041, Cumberland,42041981001,"Census Tract 9810.01, Cumberland County, Pennsylvania",0.93979235,3484,318,0,10,0,10,0,10,0,10,5923,1429,726,117,82,79,32,41,0,10,0,14.1,2316,372,22,38.5,0,14.1,0,10,0,14.1,0,10,3484,318,0,-999,0,-999,5923,1429,26.5,4.1,2.4,2.2,0.9,1.2,0,-999,0,-999,66.5,8.8,0.6,1.1,0,-999,0,-999,0,-999,0,-999,100,0,0,0,0.9953,0.9468,1.9421,0.4925,0.0124,0.0115,0,0,0.0239,0.0078,0.894,0.5162,1.4101,0.7537,0,0,0,0,0.9978,0.9978,0.0693,4.374,0.0835,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,10,0,-999,3819
-1,1400000US42091206702,206702,42, Pennsylvania,PA,42091, Montgomery,42091206702,"Census Tract 2067.02, Montgomery County, Pennsylvania",2.57389377,3161,579,4,6,4,6,0,10,0,10,7049,2388,849,235,120,102,8,11,0,10,0,14.1,2377,597.6,26,45.5,0,14.1,0,10,0,14.1,0,10,3135,580,0,51,0,61.3,7049,2388,31.1,5.4,3.8,3,0.3,0.3,0,51,0,353.6,75.2,13,0.8,1.4,0,353.6,0,100,0,353.6,0,100,99.2,2.6,0,0,0.9941,0.9661,1.9602,0.5025,0.0193,0.01,0,0,0.0292,0.0081,0.9101,0.5805,1.4907,0.792,0,0,0,0,0.9969,0.9969,0.0681,4.477,0.0932,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4,0,10,0,51,3447
-1,1400000US42027981202,981202,42, Pennsylvania,PA,42027, Centre,42027981202,"Census Tract 9812.02, Centre County, Pennsylvania",1.16242262,1851,336,0,10,0,10,0,10,0,10,10180,8681,302,85,42,18,0,10,0,10,0,14.1,1266,358.2,38,44.9,0,14.1,0,10,0,14.1,0,10,1851,336,0,-999,0,-999,10180,8681,18.5,4.1,2.3,1.1,0,0.5,0,-999,0,-999,68.4,14.8,2.1,2.4,0,-999,0,-999,0,-999,0,-999,100,0,0,0,0.9781,0.8626,1.8407,0.4618,0.0121,0,0,0,0.0121,0.0062,0.8977,0.7861,1.6838,0.8812,0,0,0,0,0.9978,0.9978,0.0693,4.5344,0.0986,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,10,0,-999,3140
-1,1400000US42041981606,981606,42, Pennsylvania,PA,42041, Cumberland,42041981606,"Census Tract 9816.06, Cumberland County, Pennsylvania",0.42359637,2305,386,0,10,0,10,0,10,132,48,10232,2045,0,10,0,10,5,10,50,40,0,14.1,369,505.9,0,40,0,14.1,0,10,0,14.1,0,10,2305,386,0,-999,10.1,3.5,10232,2045,0,54.2,0,1.1,0.2,0.4,2.2,1.7,0,-999,16,21.8,0,1.7,0,-999,0,-999,0,-999,0,-999,100,0,0,0.7105,0.9775,0,1.688,0.4102,0,0.0096,0.0109,0,0.0205,0.0072,0.6141,0,0.6141,0.2914,0,0,0,0,0.9978,0.9978,0.0693,3.3204,0.0178,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,108,79,4.7,3.3,2899
-1,1400000US42003980900,980900,42, Pennsylvania,PA,42003, Allegheny,42003980900,"Census Tract 9809, Allegheny County, Pennsylvania",0.56525217,1939,1209,0,10,0,10,0,10,0,10,11329,4619,736,728,32,40,0,10,0,10,0,14.1,1078,1298.6,0,40,0,14.1,0,10,0,14.1,0,10,1939,1209,0,-999,0,-999,11329,4619,39.2,16.1,1.7,2.7,0,0.5,0,-999,0,-999,55.6,57.3,0,2.1,0,-999,0,-999,0,-999,0,-999,100,0,0,0,0.9684,0.9854,1.9538,0.4994,0.0112,0,0,0,0.0112,0.0056,0.8688,0,0.8688,0.4356,0,0,0,0,0.9978,0.9978,0.0693,3.8316,0.0454,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,10,0,-999,2692
-1,1400000US42003980700,980700,42, Pennsylvania,PA,42003, Allegheny,42003980700,"Census Tract 9807, Allegheny County, Pennsylvania",0.23994656,12,14,21,16,8,9,0,10,0,10,56117,30400,0,10,0,10,0,10,0,10,0,14.1,0,19.8,0,40,4,11.7,0,10,0,14.1,0,10,0,10,0,75.1,0,75.1,56117,30400,0,92,0,75.1,0,83.3,0,75.1,0,176.8,0,165,0,333.3,19,53.6,0,56.8,0,176.8,0,92,0,83.3,0,0,0.035,0,0.035,0.0006,0,0,0,0,0,0,0,0,0,0,0.8728,0,0,0,0,0.8728,0.0525,0.9079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,75.1,4392
